display_name,timestamp,value,unit,motion_context,source_name,hk_type
HRV SDNN,2026-07-01 19:56:24+09:00,9.80837,ms,,김하은의 Apple Watch,HKQuantityTypeIdentifierHeartRateVariabilitySDNN
HRV SDNN,2026-07-02 10:46:35+09:00,38.2315,ms,,김하은의 Apple Watch,HKQuantityTypeIdentifierHeartRateVariabilitySDNN
HRV SDNN,2026-07-02 11:38:16+09:00,22.3927,ms,,김하은의 Apple Watch,HKQuantityTypeIdentifierHeartRateVariabilitySDNN
HRV SDNN,2026-07-02 15:24:04+09:00,23.2181,ms,,김하은의 Apple Watch,HKQuantityTypeIdentifierHeartRateVariabilitySDNN
HRV SDNN,2026-07-02 19:27:37+09:00,27.2727,ms,,김하은의 Apple Watch,HKQuantityTypeIdentifierHeartRateVariabilitySDNN
HRV SDNN,2026-07-03 11:41:42+09:00,27.846,ms,,김하은의 Apple Watch,HKQuantityTypeIdentifierHeartRateVariabilitySDNN
HRV SDNN,2026-07-03 17:56:50+09:00,10.5641,ms,,김하은의 Apple Watch,HKQuantityTypeIdentifierHeartRateVariabilitySDNN
HRV SDNN,2026-07-03 20:09:39+09:00,34.3346,ms,,김하은의 Apple Watch,HKQuantityTypeIdentifierHeartRateVariabilitySDNN
HRV SDNN,2026-07-03 23:26:08+09:00,19.5711,ms,,김하은의 Apple Watch,HKQuantityTypeIdentifierHeartRateVariabilitySDNN
HRV SDNN,2026-07-04 12:53:21+09:00,35.7646,ms,,김하은의 Apple Watch,HKQuantityTypeIdentifierHeartRateVariabilitySDNN
HRV SDNN,2026-07-05 10:56:45+09:00,53.5966,ms,,김하은의 Apple Watch,HKQuantityTypeIdentifierHeartRateVariabilitySDNN
HRV SDNN,2026-07-05 11:01:16+09:00,14.0568,ms,,김하은의 Apple Watch,HKQuantityTypeIdentifierHeartRateVariabilitySDNN
HRV SDNN,2026-07-05 11:22:00+09:00,30.7924,ms,,김하은의 Apple Watch,HKQuantityTypeIdentifierHeartRateVariabilitySDNN
HRV SDNN,2026-07-05 15:37:14+09:00,16.3199,ms,,김하은의 Apple Watch,HKQuantityTypeIdentifierHeartRateVariabilitySDNN
HRV SDNN,2026-07-05 17:23:13+09:00,18.2064,ms,,김하은의 Apple Watch,HKQuantityTypeIdentifierHeartRateVariabilitySDNN
HRV SDNN,2026-07-06 13:05:06+09:00,17.3588,ms,,김하은의 Apple Watch,HKQuantityTypeIdentifierHeartRateVariabilitySDNN
HRV SDNN,2026-07-06 13:06:31+09:00,26.2529,ms,,김하은의 Apple Watch,HKQuantityTypeIdentifierHeartRateVariabilitySDNN
HRV SDNN,2026-07-06 15:24:22+09:00,36.7541,ms,,김하은의 Apple Watch,HKQuantityTypeIdentifierHeartRateVariabilitySDNN
HRV SDNN,2026-07-06 17:11:39+09:00,22.7622,ms,,김하은의 Apple Watch,HKQuantityTypeIdentifierHeartRateVariabilitySDNN
HRV SDNN,2026-07-06 19:07:39+09:00,37.6162,ms,,김하은의 Apple Watch,HKQuantityTypeIdentifierHeartRateVariabilitySDNN
HRV SDNN,2026-07-06 21:09:03+09:00,44.6008,ms,,김하은의 Apple Watch,HKQuantityTypeIdentifierHeartRateVariabilitySDNN
HRV SDNN,2026-07-06 23:06:43+09:00,45.8329,ms,,김하은의 Apple Watch,HKQuantityTypeIdentifierHeartRateVariabilitySDNN
HRV SDNN,2026-07-07 01:06:10+09:00,36.5067,ms,,김하은의 Apple Watch,HKQuantityTypeIdentifierHeartRateVariabilitySDNN
HRV SDNN,2026-07-07 18:07:13+09:00,19.6931,ms,,김하은의 Apple Watch,HKQuantityTypeIdentifierHeartRateVariabilitySDNN
